customer_id,recency,frequency,monetary,segment,acquisition_channel,cluster,segment_label
C000032,236,16,2079.84,SMB,Partner,0,Loyal
C000033,25,22,659.78,SMB,Referral,0,Loyal
C000034,1,9,1169.91,Mid-Market,Paid Ads,1,At Risk
C000035,3,36,2159.64,SMB,Paid Ads,0,Loyal
C000036,19,26,779.74,Mid-Market,Partner,0,Loyal
C000037,613,13,1689.8700000000001,SMB,Referral,2,Lost
C000038,12,8,239.92,Enterprise,Organic,1,At Risk
C000039,26,4,239.96,SMB,Partner,1,At Risk
C000040,4,3,389.97,SMB,Partner,1,At Risk
C000041,13,4,239.96,SMB,Referral,1,At Risk
C000042,496,16,2079.84,SMB,Organic,2,Lost
C000043,19,11,329.89,Mid-Market,Partner,1,At Risk
C000044,17,18,1079.82,Enterprise,Partner,0,Loyal
C000045,1,21,1259.79,SMB,Referral,0,Loyal
C000046,16,18,539.8199999999999,SMB,Paid Ads,0,Loyal
C000047,21,14,419.85999999999996,Mid-Market,Paid Ads,1,At Risk
C000048,9,16,479.84,SMB,Referral,1,At Risk
C000049,17,36,1079.6399999999999,Mid-Market,Partner,0,Loyal
C000050,26,11,329.89,SMB,Partner,1,At Risk
C000051,9,1,29.99,SMB,Partner,1,At Risk
C000052,18,23,1379.77,SMB,Paid Ads,0,Loyal
C000053,29,7,209.92999999999998,Mid-Market,Paid Ads,1,At Risk
C000054,4,22,1319.78,Mid-Market,Organic,0,Loyal
C000055,2,17,2209.83,Mid-Market,Organic,0,Loyal
C000056,26,1,129.99,SMB,Partner,1,At Risk
C000057,1,3,179.97,SMB,Paid Ads,1,At Risk
C000058,17,8,239.92,Enterprise,Organic,1,At Risk
C000059,2,17,1019.83,Enterprise,Referral,0,Loyal
C000060,30,30,899.6999999999999,SMB,Paid Ads,0,Loyal
C000061,11,2,259.98,Enterprise,Organic,1,At Risk
C000062,60,25,1499.75,Mid-Market,Referral,0,Loyal
C000063,27,33,989.67,SMB,Referral,0,Loyal
C000064,16,29,869.7099999999999,SMB,Paid Ads,0,Loyal
C000065,55,7,419.93,SMB,Partner,1,At Risk
C000066,31,1,129.99,SMB,Organic,1,At Risk
C000067,28,24,1439.76,Enterprise,Organic,0,Loyal
C000068,550,13,1689.8700000000001,SMB,Referral,2,Lost
C000069,14,32,959.68,Enterprise,Paid Ads,0,Loyal
C000070,17,3,89.97,SMB,Partner,1,At Risk
C000071,16,9,539.91,Mid-Market,Referral,1,At Risk
C000072,110,8,479.92,SMB,Partner,1,At Risk
C000073,2,20,1199.8,Enterprise,Referral,0,Loyal
C000074,20,3,389.97,SMB,Partner,1,At Risk
C000075,1,24,3119.76,Enterprise,Referral,3,Champions
C000076,11,8,1039.92,Mid-Market,Partner,1,At Risk
C000077,49,16,479.84,Enterprise,Organic,1,At Risk
C000078,18,20,1199.8,SMB,Partner,0,Loyal
C000079,529,4,119.96,SMB,Referral,2,Lost
C000080,14,1,59.99,SMB,Paid Ads,1,At Risk
C000081,24,34,2039.66,SMB,Referral,0,Loyal
C000082,14,22,2859.78,SMB,Paid Ads,3,Champions
C000083,50,8,239.92,SMB,Paid Ads,1,At Risk
C000085,2,15,449.84999999999997,Enterprise,Paid Ads,1,At Risk
C000086,2,9,539.91,SMB,Organic,1,At Risk
C000087,23,28,1679.72,Mid-Market,Referral,0,Loyal
C000088,25,22,659.78,SMB,Partner,0,Loyal
C000089,4,36,4679.64,SMB,Partner,3,Champions
C000090,549,9,1169.91,Mid-Market,Referral,2,Lost
C000091,13,11,659.89,SMB,Partner,1,At Risk
C000092,4,18,539.8199999999999,SMB,Partner,0,Loyal
C000093,26,19,569.81,SMB,Paid Ads,0,Loyal
C000094,13,1,29.99,Mid-Market,Paid Ads,1,At Risk
C000095,12,26,779.74,SMB,Organic,0,Loyal
C000096,6,19,569.81,Mid-Market,Paid Ads,0,Loyal
C000097,7,34,1019.66,SMB,Referral,0,Loyal
C000098,25,5,299.95,SMB,Referral,1,At Risk
C000099,604,15,1949.8500000000001,SMB,Organic,2,Lost
C000100,845,8,479.92,SMB,Paid Ads,2,Lost
C000101,22,15,449.84999999999997,SMB,Paid Ads,1,At Risk
C000102,25,21,1259.79,SMB,Paid Ads,0,Loyal
C000103,29,18,539.8199999999999,Enterprise,Referral,0,Loyal
C000104,3,6,779.94,SMB,Partner,1,At Risk
C000106,8,32,959.68,Enterprise,Referral,0,Loyal
C000107,30,26,779.74,SMB,Partner,0,Loyal
C000108,50,14,419.85999999999996,SMB,Partner,1,At Risk
C000109,29,8,239.92,SMB,Partner,1,At Risk
C000110,11,30,899.6999999999999,SMB,Organic,0,Loyal
C000111,598,8,479.92,SMB,Paid Ads,2,Lost
C000112,4,16,2079.84,SMB,Paid Ads,0,Loyal
C000113,27,4,239.96,Mid-Market,Paid Ads,1,At Risk
C000114,20,33,989.67,SMB,Partner,0,Loyal
C000115,8,9,539.91,SMB,Referral,1,At Risk
C000116,17,23,1379.77,SMB,Paid Ads,0,Loyal
C000117,14,33,1979.67,Enterprise,Paid Ads,0,Loyal
C000118,25,2,59.98,SMB,Referral,1,At Risk
C000119,30,13,1689.8700000000001,SMB,Referral,0,Loyal
C000120,16,13,389.87,SMB,Paid Ads,1,At Risk
C000121,26,9,1169.91,Mid-Market,Partner,1,At Risk
C000122,11,5,299.95,Mid-Market,Organic,1,At Risk
C000123,43,1,129.99,Enterprise,Referral,1,At Risk
C000124,8,4,519.96,Mid-Market,Organic,1,At Risk
C000125,19,18,2339.82,SMB,Partner,0,Loyal
C000126,12,25,749.75,SMB,Organic,0,Loyal
C000127,14,15,1949.8500000000001,SMB,Paid Ads,0,Loyal
C000128,386,19,569.81,SMB,Paid Ads,2,Lost
C000129,1,31,1859.69,SMB,Referral,0,Loyal
C000130,14,7,209.92999999999998,SMB,Referral,1,At Risk
C000131,9,11,329.89,Enterprise,Paid Ads,1,At Risk
C000132,23,29,3769.71,Enterprise,Organic,3,Champions
C000133,19,13,389.87,SMB,Partner,1,At Risk
C000134,13,8,239.92,Mid-Market,Organic,1,At Risk
C000135,18,16,959.84,Mid-Market,Paid Ads,0,Loyal
C000136,17,25,3249.75,Mid-Market,Organic,3,Champions
C000137,6,2,119.98,Enterprise,Paid Ads,1,At Risk
C000138,25,11,659.89,Enterprise,Referral,1,At Risk
C000139,4,2,119.98,SMB,Paid Ads,1,At Risk
C000140,26,31,4029.6900000000005,Mid-Market,Referral,3,Champions
C000141,10,29,3769.71,SMB,Referral,3,Champions
C000142,9,15,899.85,Mid-Market,Referral,1,At Risk
C000144,13,20,599.8,SMB,Organic,0,Loyal
C000145,11,10,299.9,Enterprise,Paid Ads,1,At Risk
C000146,13,8,479.92,SMB,Partner,1,At Risk
C000147,29,27,3509.7300000000005,Mid-Market,Paid Ads,3,Champions
C000148,536,10,599.9,SMB,Referral,2,Lost
C000149,8,22,2859.78,Mid-Market,Organic,3,Champions
C000150,28,5,649.95,SMB,Partner,1,At Risk
C000151,407,9,1169.91,SMB,Partner,2,Lost
C000152,828,9,269.90999999999997,SMB,Paid Ads,2,Lost
C000153,17,19,569.81,SMB,Referral,0,Loyal
C000154,20,1,129.99,SMB,Organic,1,At Risk
C000155,195,16,2079.84,SMB,Referral,0,Loyal
C000156,18,28,1679.72,SMB,Paid Ads,0,Loyal
C000157,22,20,2599.8,SMB,Paid Ads,3,Champions
C000158,14,14,1819.8600000000001,Enterprise,Referral,0,Loyal
C000159,4,15,449.84999999999997,Mid-Market,Paid Ads,1,At Risk
C000160,3,28,839.7199999999999,SMB,Partner,0,Loyal
C000161,4,18,539.8199999999999,Enterprise,Referral,0,Loyal
C000162,48,33,989.67,Enterprise,Referral,0,Loyal
C000163,14,32,4159.68,Enterprise,Referral,3,Champions
C000164,18,14,419.85999999999996,Enterprise,Paid Ads,1,At Risk
C000165,9,15,1949.8500000000001,SMB,Organic,0,Loyal
C000166,10,24,1439.76,Mid-Market,Partner,0,Loyal
C000167,15,11,1429.89,Mid-Market,Referral,1,At Risk
C000168,541,14,419.85999999999996,SMB,Paid Ads,2,Lost
C000169,6,24,1439.76,SMB,Paid Ads,0,Loyal
C000170,6,16,959.84,Enterprise,Referral,0,Loyal
C000171,456,15,449.84999999999997,SMB,Partner,2,Lost
C000172,18,35,1049.6499999999999,SMB,Referral,0,Loyal
C000173,708,13,779.87,SMB,Referral,2,Lost
C000174,13,15,449.84999999999997,SMB,Organic,1,At Risk
C000175,2,15,449.84999999999997,Enterprise,Organic,1,At Risk
C000176,11,33,989.67,SMB,Partner,0,Loyal
C000177,24,14,419.85999999999996,Mid-Market,Organic,1,At Risk
C000178,10,7,209.92999999999998,Enterprise,Paid Ads,1,At Risk
C000179,1,32,959.68,Enterprise,Organic,0,Loyal
C000180,13,34,1019.66,SMB,Organic,0,Loyal
C000181,471,18,1079.82,SMB,Partner,2,Lost
C000182,35,35,1049.6499999999999,SMB,Organic,0,Loyal
C000183,29,8,479.92,SMB,Paid Ads,1,At Risk
C000184,6,27,3509.7300000000005,SMB,Referral,3,Champions
C000185,8,17,509.83,SMB,Partner,1,At Risk
C000186,21,27,809.7299999999999,SMB,Referral,0,Loyal
C000187,19,28,3639.7200000000003,SMB,Paid Ads,3,Champions
C000188,18,34,2039.66,Enterprise,Organic,0,Loyal
C000189,12,26,779.74,Mid-Market,Paid Ads,0,Loyal
C000190,721,5,649.95,Mid-Market,Organic,2,Lost
C000191,18,25,1499.75,SMB,Partner,0,Loyal
C000192,7,3,179.97,SMB,Organic,1,At Risk
C000193,25,31,4029.6900000000005,SMB,Referral,3,Champions
C000194,19,16,959.84,SMB,Partner,0,Loyal
C000195,11,29,3769.71,Mid-Market,Referral,3,Champions
C000196,14,13,779.87,Mid-Market,Organic,1,At Risk
C000197,4,11,659.89,SMB,Paid Ads,1,At Risk
C000199,13,2,259.98,SMB,Organic,1,At Risk
C000200,9,12,359.88,SMB,Partner,1,At Risk
C000201,611,10,299.9,Mid-Market,Partner,2,Lost
C000202,9,21,1259.79,Mid-Market,Referral,0,Loyal
C000203,2,21,2729.79,Mid-Market,Organic,3,Champions
C000204,36,6,779.94,SMB,Organic,1,At Risk
C000205,613,15,1949.8500000000001,SMB,Referral,2,Lost
C000206,671,7,209.92999999999998,Mid-Market,Referral,2,Lost
C000207,13,9,539.91,Mid-Market,Referral,1,At Risk
C000208,480,9,539.91,SMB,Referral,2,Lost
C000209,12,19,569.81,Enterprise,Paid Ads,0,Loyal
C000210,17,33,4289.67,SMB,Referral,3,Champions
C000211,38,11,1429.89,Mid-Market,Partner,1,At Risk
C000212,4,3,179.97,SMB,Referral,1,At Risk
C000213,47,9,269.90999999999997,SMB,Paid Ads,1,At Risk
C000214,1,4,239.96,Enterprise,Paid Ads,1,At Risk
C000215,7,33,989.67,Mid-Market,Referral,0,Loyal
C000216,7,34,2039.66,SMB,Partner,0,Loyal
C000217,19,27,809.7299999999999,SMB,Referral,0,Loyal
C000218,12,22,1319.78,Enterprise,Paid Ads,0,Loyal
C000219,23,25,3249.75,SMB,Partner,3,Champions
C000220,23,14,419.85999999999996,Mid-Market,Organic,1,At Risk
C000221,19,28,1679.72,Enterprise,Partner,0,Loyal
C000222,764,8,1039.92,Mid-Market,Partner,2,Lost
C000223,22,15,1949.8500000000001,Mid-Market,Partner,0,Loyal
C000224,21,24,719.76,Enterprise,Partner,0,Loyal
C000225,28,9,269.90999999999997,SMB,Referral,1,At Risk
C000226,19,35,2099.65,Mid-Market,Organic,0,Loyal
C000227,16,26,1559.74,Mid-Market,Partner,0,Loyal
C000228,46,1,59.99,Mid-Market,Organic,1,At Risk
C000229,12,25,1499.75,SMB,Organic,0,Loyal
C000230,29,6,779.94,SMB,Organic,1,At Risk
C000231,27,7,909.9300000000001,SMB,Paid Ads,1,At Risk
C000232,49,10,1299.9,SMB,Referral,1,At Risk
C000233,28,30,899.6999999999999,SMB,Referral,0,Loyal
C000234,7,13,1689.8700000000001,Mid-Market,Paid Ads,0,Loyal
C000235,5,37,1109.6299999999999,SMB,Organic,0,Loyal
C000236,13,17,509.83,SMB,Partner,1,At Risk
C000237,390,12,1559.88,SMB,Partner,2,Lost
C000238,13,8,479.92,SMB,Paid Ads,1,At Risk
C000239,23,19,2469.8100000000004,Enterprise,Partner,0,Loyal
C000240,12,17,2209.83,SMB,Organic,0,Loyal
C000241,15,6,779.94,SMB,Partner,1,At Risk
C000242,18,30,3899.7000000000003,Enterprise,Partner,3,Champions
C000243,9,17,2209.83,SMB,Referral,0,Loyal
C000244,182,14,1819.8600000000001,SMB,Organic,0,Loyal
C000245,8,31,4029.6900000000005,SMB,Paid Ads,3,Champions
C000246,26,12,359.88,SMB,Partner,1,At Risk
C000247,22,11,659.89,Mid-Market,Partner,1,At Risk
C000248,29,7,909.9300000000001,Enterprise,Paid Ads,1,At Risk
C000249,4,25,749.75,Enterprise,Paid Ads,0,Loyal
C000250,25,22,659.78,SMB,Partner,0,Loyal
C000251,30,22,659.78,SMB,Partner,0,Loyal
C000252,2,10,599.9,SMB,Organic,1,At Risk
C000253,4,31,1859.69,SMB,Referral,0,Loyal
C000254,66,7,909.9300000000001,SMB,Organic,1,At Risk
C000255,26,32,959.68,Mid-Market,Partner,0,Loyal
C000256,19,34,4419.66,SMB,Partner,3,Champions
C000257,19,14,419.85999999999996,SMB,Paid Ads,1,At Risk
C000258,30,32,1919.68,SMB,Paid Ads,0,Loyal
C000259,6,6,179.94,Enterprise,Organic,1,At Risk
C000260,28,6,359.94,SMB,Paid Ads,1,At Risk
C000261,11,10,599.9,Mid-Market,Paid Ads,1,At Risk
C000262,257,17,1019.83,Mid-Market,Referral,0,Loyal
C000263,30,19,1139.81,SMB,Paid Ads,0,Loyal
C000264,12,10,599.9,Mid-Market,Referral,1,At Risk
C000265,9,16,959.84,SMB,Paid Ads,0,Loyal
C000266,24,15,449.84999999999997,SMB,Referral,1,At Risk
C000267,35,1,59.99,SMB,Organic,1,At Risk
C000268,37,32,959.68,Mid-Market,Referral,0,Loyal
C000269,2,28,3639.7200000000003,Mid-Market,Paid Ads,3,Champions
C000270,6,31,4029.6900000000005,Mid-Market,Referral,3,Champions
C000271,50,3,89.97,Enterprise,Paid Ads,1,At Risk
C000272,30,1,129.99,SMB,Organic,1,At Risk
C000273,4,29,869.7099999999999,SMB,Partner,0,Loyal
C000274,1,3,389.97,SMB,Referral,1,At Risk
C000275,20,14,419.85999999999996,SMB,Referral,1,At Risk
C000276,2,35,4549.650000000001,SMB,Organic,3,Champions
C000277,14,3,389.97,Enterprise,Paid Ads,1,At Risk
C000278,22,8,479.92,Mid-Market,Paid Ads,1,At Risk
C000279,5,23,1379.77,SMB,Partner,0,Loyal
C000280,13,5,149.95,Mid-Market,Paid Ads,1,At Risk
C000281,19,6,179.94,SMB,Organic,1,At Risk
C000282,11,8,479.92,SMB,Partner,1,At Risk
C000283,9,6,779.94,Mid-Market,Paid Ads,1,At Risk
C000284,5,10,299.9,SMB,Organic,1,At Risk
C000285,450,10,1299.9,Mid-Market,Partner,2,Lost
C000286,22,21,1259.79,Mid-Market,Partner,0,Loyal
C000287,5,26,779.74,SMB,Organic,0,Loyal
C000288,20,32,959.68,Mid-Market,Partner,0,Loyal
C000289,16,33,1979.67,SMB,Organic,0,Loyal
C000290,337,12,719.88,SMB,Referral,2,Lost
C000291,20,3,89.97,Mid-Market,Paid Ads,1,At Risk
C000292,22,10,1299.9,SMB,Partner,1,At Risk
C000293,9,6,779.94,SMB,Partner,1,At Risk
C000294,14,11,659.89,SMB,Partner,1,At Risk
C000295,28,17,2209.83,SMB,Partner,0,Loyal
C000296,6,3,89.97,Enterprise,Referral,1,At Risk
C000297,23,9,269.90999999999997,SMB,Organic,1,At Risk
C000298,3,29,1739.71,Mid-Market,Organic,0,Loyal
C000299,182,19,569.81,SMB,Organic,0,Loyal
C000300,8,13,389.87,SMB,Referral,1,At Risk
C000301,29,2,259.98,SMB,Partner,1,At Risk
C000302,1,4,119.96,SMB,Referral,1,At Risk
C000303,3,19,2469.8100000000004,Mid-Market,Partner,0,Loyal
C000304,18,29,869.7099999999999,SMB,Paid Ads,0,Loyal
C000305,15,25,749.75,SMB,Referral,0,Loyal
C000306,26,11,329.89,SMB,Referral,1,At Risk
C000307,6,24,3119.76,SMB,Organic,3,Champions
C000308,16,23,2989.7700000000004,SMB,Organic,3,Champions
C000309,3,10,1299.9,SMB,Organic,1,At Risk
C000310,28,17,2209.83,SMB,Partner,0,Loyal
C000311,478,16,479.84,SMB,Organic,2,Lost
C000312,362,5,149.95,SMB,Referral,2,Lost
C000313,2,33,989.67,SMB,Referral,0,Loyal
C000314,20,26,779.74,SMB,Partner,0,Loyal
C000315,1,27,809.7299999999999,SMB,Organic,0,Loyal
C000316,14,23,2989.7700000000004,Enterprise,Referral,3,Champions
C000317,857,5,649.95,SMB,Organic,2,Lost
C000318,486,9,1169.91,SMB,Paid Ads,2,Lost
C000319,10,5,149.95,Mid-Market,Referral,1,At Risk
C000320,43,18,1079.82,SMB,Paid Ads,0,Loyal
C000321,26,22,659.78,SMB,Referral,0,Loyal
C000322,28,9,269.90999999999997,Mid-Market,Partner,1,At Risk
C000323,50,33,1979.67,SMB,Paid Ads,0,Loyal
C000324,17,18,2339.82,SMB,Partner,0,Loyal
C000325,29,33,1979.67,SMB,Organic,0,Loyal
C000326,9,13,389.87,SMB,Paid Ads,1,At Risk
C000327,1,26,1559.74,SMB,Partner,0,Loyal
C000328,26,32,959.68,SMB,Paid Ads,0,Loyal
C000329,41,10,1299.9,SMB,Paid Ads,1,At Risk
C000330,30,34,4419.66,SMB,Paid Ads,3,Champions
C000331,7,29,1739.71,SMB,Organic,0,Loyal
C000332,15,4,519.96,SMB,Referral,1,At Risk
C000333,22,14,839.86,SMB,Partner,1,At Risk
C000334,22,6,179.94,Mid-Market,Referral,1,At Risk
C000335,8,7,909.9300000000001,Mid-Market,Partner,1,At Risk
C000336,28,1,29.99,SMB,Partner,1,At Risk
C000337,3,32,4159.68,SMB,Partner,3,Champions
C000338,28,26,1559.74,SMB,Paid Ads,0,Loyal
C000339,579,12,1559.88,Mid-Market,Paid Ads,2,Lost
C000340,13,6,179.94,Enterprise,Referral,1,At Risk
C000341,41,23,2989.7700000000004,Mid-Market,Organic,3,Champions
C000342,10,25,3249.75,Mid-Market,Referral,3,Champions
C000343,45,16,2079.84,SMB,Paid Ads,0,Loyal
C000344,3,11,1429.89,SMB,Partner,1,At Risk
C000345,7,30,1799.7,SMB,Partner,0,Loyal
C000346,27,31,929.6899999999999,SMB,Referral,0,Loyal
C000347,685,11,659.89,SMB,Organic,2,Lost
C000348,7,28,839.7199999999999,Mid-Market,Partner,0,Loyal
C000349,29,22,1319.78,SMB,Referral,0,Loyal
C000350,29,15,1949.8500000000001,Enterprise,Referral,0,Loyal
C000351,14,30,899.6999999999999,SMB,Referral,0,Loyal
C000352,30,13,1689.8700000000001,Mid-Market,Organic,0,Loyal
C000353,47,9,1169.91,Mid-Market,Paid Ads,1,At Risk
C000354,430,6,779.94,SMB,Organic,2,Lost
C000355,15,6,179.94,SMB,Organic,1,At Risk
C000356,304,19,569.81,SMB,Partner,2,Lost
C000357,7,7,909.9300000000001,Mid-Market,Partner,1,At Risk
C000358,20,2,259.98,Enterprise,Partner,1,At Risk
C000359,8,27,1619.73,SMB,Paid Ads,0,Loyal
C000360,30,29,869.7099999999999,Enterprise,Organic,0,Loyal
C000361,29,7,909.9300000000001,Mid-Market,Paid Ads,1,At Risk
C000362,6,27,3509.7300000000005,SMB,Paid Ads,3,Champions
C000363,8,15,899.85,Enterprise,Organic,1,At Risk
C000364,23,4,119.96,SMB,Referral,1,At Risk
C000365,6,32,4159.68,SMB,Partner,3,Champions
C000366,13,31,929.6899999999999,Enterprise,Referral,0,Loyal
C000367,17,9,539.91,Enterprise,Partner,1,At Risk
C000368,17,7,909.9300000000001,Mid-Market,Partner,1,At Risk
C000369,21,4,119.96,Enterprise,Partner,1,At Risk
C000370,262,12,359.88,SMB,Organic,1,At Risk
C000371,29,6,179.94,SMB,Paid Ads,1,At Risk
C000372,14,20,1199.8,Enterprise,Organic,0,Loyal
C000373,23,24,1439.76,SMB,Partner,0,Loyal
C000374,228,7,419.93,SMB,Partner,1,At Risk
C000375,3,26,3379.7400000000002,Mid-Market,Paid Ads,3,Champions
C000376,21,3,89.97,SMB,Organic,1,At Risk
C000377,9,14,839.86,SMB,Paid Ads,1,At Risk
C000378,18,30,899.6999999999999,Enterprise,Partner,0,Loyal
C000379,20,24,3119.76,Enterprise,Paid Ads,3,Champions
C000380,2,4,119.96,Mid-Market,Partner,1,At Risk
C000381,7,32,959.68,SMB,Referral,0,Loyal
C000382,28,26,779.74,SMB,Partner,0,Loyal
C000383,22,19,569.81,Mid-Market,Paid Ads,0,Loyal
C000384,26,18,1079.82,SMB,Referral,0,Loyal
C000385,29,3,179.97,Enterprise,Partner,1,At Risk
C000386,11,14,839.86,Enterprise,Partner,1,At Risk
C000387,452,10,299.9,SMB,Referral,2,Lost
C000388,21,4,519.96,Mid-Market,Organic,1,At Risk
C000389,6,21,1259.79,SMB,Partner,0,Loyal
C000390,3,19,569.81,SMB,Paid Ads,0,Loyal
C000391,25,20,2599.8,SMB,Paid Ads,3,Champions
C000392,2,6,779.94,Mid-Market,Referral,1,At Risk
C000393,2,10,299.9,SMB,Organic,1,At Risk
C000394,14,20,2599.8,SMB,Organic,3,Champions
C000395,30,15,449.84999999999997,SMB,Partner,1,At Risk
C000396,15,26,779.74,Enterprise,Referral,0,Loyal
C000397,20,20,599.8,SMB,Referral,0,Loyal
C000398,16,1,59.99,SMB,Referral,1,At Risk
C000399,10,28,839.7199999999999,Enterprise,Organic,0,Loyal
C000400,143,12,1559.88,Mid-Market,Partner,1,At Risk
C000401,3,31,4029.6900000000005,SMB,Organic,3,Champions
C000402,12,33,4289.67,Mid-Market,Organic,3,Champions
C000403,13,17,1019.83,Mid-Market,Partner,0,Loyal
C000404,3,16,959.84,Enterprise,Partner,0,Loyal
C000405,19,27,1619.73,SMB,Organic,0,Loyal
C000406,27,2,259.98,SMB,Partner,1,At Risk
C000407,90,11,659.89,SMB,Organic,1,At Risk
C000408,29,4,239.96,Enterprise,Referral,1,At Risk
C000409,272,17,509.83,SMB,Referral,1,At Risk
C000410,1,31,1859.69,Enterprise,Partner,0,Loyal
C000411,13,32,4159.68,SMB,Partner,3,Champions
C000412,17,21,1259.79,Mid-Market,Partner,0,Loyal
C000413,21,34,2039.66,SMB,Referral,0,Loyal
C000414,3,10,1299.9,SMB,Paid Ads,1,At Risk
C000415,15,34,2039.66,SMB,Organic,0,Loyal
C000416,22,1,129.99,Enterprise,Partner,1,At Risk
C000417,13,32,959.68,SMB,Partner,0,Loyal
C000418,27,32,1919.68,SMB,Referral,0,Loyal
C000419,20,22,1319.78,SMB,Referral,0,Loyal
C000420,1,15,449.84999999999997,SMB,Organic,1,At Risk
C000421,30,13,389.87,SMB,Partner,1,At Risk
C000422,8,17,1019.83,Mid-Market,Organic,0,Loyal
C000423,40,28,3639.7200000000003,Enterprise,Partner,3,Champions
C000424,523,12,719.88,Enterprise,Partner,2,Lost
C000425,12,5,299.95,Enterprise,Paid Ads,1,At Risk
C000426,28,30,3899.7000000000003,Mid-Market,Referral,3,Champions
C000427,7,28,839.7199999999999,Mid-Market,Organic,0,Loyal
C000428,28,22,1319.78,Enterprise,Paid Ads,0,Loyal
C000429,48,9,1169.91,SMB,Paid Ads,1,At Risk
C000430,846,8,479.92,Mid-Market,Paid Ads,2,Lost
C000431,8,32,1919.68,SMB,Organic,0,Loyal
C000432,3,31,929.6899999999999,Enterprise,Paid Ads,0,Loyal
C000433,598,8,1039.92,SMB,Paid Ads,2,Lost
C000434,839,6,359.94,SMB,Organic,2,Lost
C000435,2,9,1169.91,SMB,Referral,1,At Risk
C000436,208,10,1299.9,SMB,Referral,1,At Risk
C000437,23,21,1259.79,SMB,Paid Ads,0,Loyal
C000438,30,35,4549.650000000001,Mid-Market,Partner,3,Champions
C000439,420,18,2339.82,Mid-Market,Referral,2,Lost
C000440,207,9,539.91,SMB,Referral,1,At Risk
C000441,28,7,419.93,SMB,Organic,1,At Risk
C000442,47,5,149.95,SMB,Paid Ads,1,At Risk
C000443,26,17,2209.83,Enterprise,Partner,0,Loyal
C000444,18,32,4159.68,Enterprise,Referral,3,Champions
C000445,11,20,1199.8,SMB,Organic,0,Loyal
C000446,27,1,29.99,Enterprise,Organic,1,At Risk
C000447,6,36,1079.6399999999999,Mid-Market,Partner,0,Loyal
C000448,26,14,1819.8600000000001,Mid-Market,Partner,0,Loyal
C000449,539,7,909.9300000000001,Mid-Market,Referral,2,Lost
C000450,3,30,1799.7,Enterprise,Partner,0,Loyal
C000451,29,22,659.78,SMB,Partner,0,Loyal
C000452,25,31,1859.69,SMB,Organic,0,Loyal
C000453,11,24,3119.76,Enterprise,Organic,3,Champions
C000454,268,16,959.84,SMB,Partner,1,At Risk
C000455,3,30,3899.7000000000003,SMB,Paid Ads,3,Champions
C000456,122,13,389.87,Enterprise,Partner,1,At Risk
C000457,28,13,1689.8700000000001,Mid-Market,Organic,0,Loyal
C000458,29,12,359.88,Mid-Market,Referral,1,At Risk
C000459,722,8,1039.92,Mid-Market,Organic,2,Lost
C000460,215,10,299.9,SMB,Referral,1,At Risk
C000461,30,27,3509.7300000000005,Mid-Market,Referral,3,Champions
C000462,20,25,749.75,Mid-Market,Paid Ads,0,Loyal
C000463,2,11,1429.89,SMB,Partner,1,At Risk
C000464,26,35,1049.6499999999999,SMB,Organic,0,Loyal
C000465,19,11,1429.89,Mid-Market,Paid Ads,1,At Risk
C000466,19,29,1739.71,Enterprise,Organic,0,Loyal
C000467,22,5,299.95,Mid-Market,Referral,1,At Risk
C000468,315,8,1039.92,SMB,Organic,2,Lost
